City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
455,Nan,TH,76.66,broken clouds,18.8333,100.6667,สะเนียน2
456,Agadez,NE,77.11,clear sky,19.75,10.25,
457,Port-Gentil,GA,77.54,overcast clouds,-0.7193,8.7815,Fengshui Residence
460,Sampit,ID,87.22,few clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
463,Hawalli,KW,77.92,clear sky,29.2833,47.9972,"Holiday Inn Kuwait al Thuraya City, an IHG Hotel"
479,Palm Coast,US,78.01,scattered clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
480,Kilifi,KE,76.87,overcast clouds,-3.6305,39.8499,Baobab Sea Lodge-Kilifi
481,Sri Aman,MY,81.57,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
484,Diu,IN,76.95,clear sky,20.7141,70.9822,Hotel Relax Inn
487,Vikramasingapuram,IN,81.84,overcast clouds,8.714,77.3893,Papanasam Lodge (Raja Lodge & Tourist Home)
493,Waingapu,ID,86.86,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
498,Dicabisagan,PH,78.67,moderate rain,17.0818,122.4157,Nancy Montanes Bernardo
504,Santa Cruz,BO,85.46,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
507,Lorengau,PG,85.06,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
512,Pollachi,IN,76.24,overcast clouds,10.6667,77.0167,Anand Bagh
514,Los Algarrobos,PA,78.46,broken clouds,8.5,-82.4333,Waterfall Hostel
521,Kieta,PG,83.98,light rain,-6.2167,155.6333,Uruna Bay Retreat
524,Bengkulu,ID,78.62,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
526,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
527,Kirakira,SB,87.08,clear sky,-10.4544,161.9205,SanBiz Lodge
536,Bogo,PH,84.15,overcast clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
542,Itoman,JP,77.77,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
547,Sibolga,ID,78.4,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
548,Riohacha,CO,82.58,broken clouds,11.5444,-72.9072,Hotel Taroa
549,Tarakan,ID,85.5,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
551,Adrar,MR,78.24,few clouds,20.5022,-10.0711,
552,Nanakuli,US,84.15,clear sky,21.3906,-158.1547,Camp Pālehua
553,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
555,Kihei,US,82.42,clear sky,20.785,-156.4656,Maui Sunset
561,Manaure,CO,83.14,few clouds,11.7751,-72.4445,Hotel Palaaima
562,Harlingen,US,82.35,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
564,Idenao,CM,76.55,overcast clouds,4.2475,9.0047,Moland Beach Resort
568,Sao Miguel Do Araguaia,BR,81.46,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
571,Aguada De Pasajeros,CU,75.34,overcast clouds,22.385,-80.8508,Soles de Marti
572,Sonamura,IN,75.2,clear sky,23.4719,91.2664,Sorojini Guest House
576,Siocon,PH,84.15,overcast clouds,7.7061,122.1353,ABS Hotel
580,Tombouctou,ML,80.85,clear sky,20.0,-3.0,
583,Alac,PH,78.76,overcast clouds,15.9877,120.8065,Ramirez Private Resort
584,Bandarbeyla,SO,77.34,scattered clouds,9.4942,50.8122,JABIR HOTEL
585,Hope,US,78.85,scattered clouds,33.6671,-93.5916,Best Western Hope
587,Sao Goncalo Do Amarante,BR,81.12,few clouds,-3.6072,-38.9683,Sunshine Inn
592,Jiwani,PK,78.12,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
