City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Sol-Iletsk,RU,51.1631,54.9918,49.84,85,100,15.95,light rain
107,Hailar,CN,49.2,119.7,42.76,41,1,7.63,clear sky
108,Makakilo City,US,21.3469,-158.0858,82.72,54,1,9.22,clear sky
109,Naryan-Mar,RU,67.6713,53.087,25.3,90,69,7.96,broken clouds
110,Caravelas,BR,-17.7125,-39.2481,75.43,85,97,3.38,overcast clouds
111,Chokurdakh,RU,70.6333,147.9167,-1.8,97,100,6.08,overcast clouds
112,Phan Thiet,VN,10.9333,108.1,82.35,74,100,1.77,overcast clouds
113,The Valley,AI,18.217,-63.0578,82.26,70,38,17.36,scattered clouds
114,Karratha,AU,-20.7377,116.8463,93.42,19,9,13.85,clear sky
115,Nueva Helvecia,UY,-34.3,-57.2333,56.59,84,0,7.74,clear sky
116,Hobart,AU,-42.8794,147.3294,57.02,62,75,5.01,broken clouds
117,Henties Bay,NA,-22.116,14.2845,57.85,93,23,8.75,few clouds
118,Polson,US,47.6936,-114.1632,47.37,63,67,3.85,broken clouds
119,Omsukchan,RU,62.5333,155.8,4.78,88,33,3.36,scattered clouds
120,Tomatlan,MX,19.9333,-105.25,76.17,95,99,0.31,overcast clouds
121,Mana,GF,5.6592,-53.7767,77.52,89,100,9.6,overcast clouds
122,Riviere-Au-Renard,CA,48.9957,-64.3971,46.81,93,100,10.38,overcast clouds
123,Tuktoyaktuk,CA,69.4541,-133.0374,25.23,93,93,3.74,overcast clouds
124,Chateaudun,FR,48.0833,1.3333,41.59,78,0,4.47,clear sky
125,Nicoya,CR,10.1483,-85.452,72.95,92,100,1.99,overcast clouds
126,Provideniya,RU,64.3833,-173.3,25.07,78,100,8.25,overcast clouds
127,Nanortalik,GL,60.1432,-45.2371,35.33,68,16,21.21,few clouds
128,Mabay,PH,6.0577,124.4666,85.05,65,72,3.58,broken clouds
129,Chuy,UY,-33.6971,-53.4616,54.63,95,56,6.87,broken clouds
130,Itarema,BR,-2.9248,-39.9167,79.79,80,69,12.35,broken clouds
131,Saskylakh,RU,71.9167,114.0833,6.8,94,100,14.0,overcast clouds
132,Mount Gambier,AU,-37.8333,140.7667,54.23,56,92,10.29,overcast clouds
133,Chara,RU,56.9064,118.2631,36.39,55,100,1.28,overcast clouds
134,Cap Malheureux,MU,-19.9842,57.6142,74.46,75,81,5.01,broken clouds
135,Kaeo,NZ,-35.1,173.7833,66.33,98,63,5.5,broken clouds
136,Santa Fe,AR,-31.6333,-60.7,61.75,88,0,8.34,clear sky
137,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,83,98,5.66,overcast clouds
138,Sao Filipe,CV,14.8961,-24.4956,78.75,70,7,10.0,clear sky
139,Esperance,AU,-33.8667,121.9,71.13,41,5,14.54,clear sky
140,Yellowknife,CA,62.456,-114.3525,41.56,86,100,13.0,overcast clouds
141,Kamenka,RU,51.3223,42.7678,38.97,77,8,7.72,clear sky
142,Guerrero Negro,MX,27.9769,-114.0611,66.83,79,4,15.75,clear sky
143,Paamiut,GL,61.994,-49.6678,31.5,45,92,7.05,overcast clouds
144,Fengkou,CN,30.0833,113.2667,62.02,51,46,5.06,scattered clouds
145,Kenora,CA,49.8167,-94.4337,39.18,67,100,3.0,overcast clouds
146,Taoudenni,ML,22.6783,-3.9836,81.01,22,0,7.74,clear sky
147,Faenza,IT,44.2857,11.8833,57.24,94,83,1.99,broken clouds
148,Trincomalee,LK,8.5711,81.2335,78.78,86,98,11.25,overcast clouds
149,Villarrica,PY,-25.75,-56.4333,67.06,98,100,6.2,overcast clouds
150,Bethal,ZA,-26.4579,29.4655,50.56,79,0,8.66,clear sky
151,Holme,DK,56.1138,10.1725,48.63,86,100,11.61,overcast clouds
152,Fasa,IR,28.9383,53.6482,57.83,27,0,1.77,clear sky
153,San Quintin,MX,30.4833,-115.95,63.09,74,7,20.42,clear sky
154,Chernyshevskiy,RU,63.0128,112.4714,29.34,84,83,10.71,broken clouds
155,Gushikawa,JP,26.3544,127.8686,77.0,66,20,9.22,few clouds
156,Montague,US,42.5356,-72.5351,50.09,76,96,2.59,overcast clouds
157,Krasnoselkup,RU,65.7,82.4667,32.38,99,100,11.54,snow
158,Namatanai,PG,-3.6667,152.4333,84.78,70,91,7.36,light rain
159,Durusu,TR,41.3053,28.6767,60.78,93,26,7.0,scattered clouds
160,Miramar,US,25.9873,-80.2323,82.42,83,20,5.75,few clouds
161,Fortuna,US,40.5982,-124.1573,58.98,89,90,1.99,overcast clouds
162,Oranjestad,AW,12.524,-70.027,84.15,74,20,17.27,few clouds
163,Kibala,TD,9.1104,18.3463,74.7,82,100,1.01,overcast clouds
164,Kununurra,AU,-15.7667,128.7333,93.18,49,40,10.36,scattered clouds
165,Uhlove,UA,44.8215,33.6045,55.56,82,100,10.54,overcast clouds
166,Whyalla,AU,-33.0333,137.5833,62.49,48,0,13.8,clear sky
167,Hofn,IS,64.2539,-15.2082,45.01,74,100,2.82,overcast clouds
168,Cortes,ES,41.9395,-1.4396,48.6,46,0,2.39,clear sky
169,Hasaki,JP,35.7333,140.8333,66.29,47,27,5.48,scattered clouds
170,San Carlos De Bariloche,AR,-41.1456,-71.3082,44.35,61,40,16.11,scattered clouds
171,Khatanga,RU,71.9667,102.5,7.45,92,97,16.04,overcast clouds
172,Russell,US,32.3502,-85.1999,60.4,87,1,0.0,clear sky
173,Punta Arenas,CL,-53.15,-70.9167,37.51,81,20,17.27,few clouds
174,Haukipudas,FI,65.1765,25.3523,17.65,75,47,3.31,scattered clouds
175,Sisimiut,GL,66.9395,-53.6735,23.49,92,100,7.34,light snow
176,Barrow,US,71.2906,-156.7887,30.22,80,90,12.66,haze
177,Vicksburg,US,32.3526,-90.8779,74.88,81,1,3.44,haze
178,Berlevag,NO,70.8578,29.0864,37.04,64,98,22.66,overcast clouds
179,Tonekabon,IR,36.8163,50.8738,61.52,75,15,3.06,few clouds
180,Dongli,CN,23.5656,116.8194,70.75,69,88,6.11,overcast clouds
181,Manta,EC,-0.95,-80.7333,74.98,83,20,8.05,few clouds
182,Potosi,BO,-19.5836,-65.7531,50.68,14,0,6.78,clear sky
183,Port Blair,IN,11.6667,92.75,80.64,83,40,1.14,scattered clouds
184,Fort Nelson,CA,58.8053,-122.7002,41.68,84,100,5.41,overcast clouds
185,Alice Springs,AU,-23.7,133.8833,78.35,22,75,17.27,broken clouds
186,Tromso,NO,69.6496,18.957,31.37,80,40,0.0,light snow
187,Sechura,PE,-5.5569,-80.8222,65.95,78,96,15.77,overcast clouds
188,Qaanaaq,GL,77.484,-69.3632,-1.07,58,0,7.78,clear sky
189,Carballo,ES,43.213,-8.691,53.78,90,5,4.92,clear sky
190,Salalah,OM,17.0151,54.0924,73.49,68,0,5.75,clear sky
191,Rafai,CF,4.95,23.9167,68.36,97,37,1.68,light rain
192,Kulachi,PK,31.9286,70.4592,67.48,67,0,5.79,clear sky
193,Emerald,AU,-23.5333,148.1667,95.52,26,92,6.73,overcast clouds
194,Murray Bridge,AU,-35.1167,139.2667,67.42,51,76,11.5,broken clouds
195,Chalus,IR,36.655,51.4204,62.17,73,28,3.85,scattered clouds
196,Asilah,MA,35.465,-6.0348,67.96,81,1,12.66,clear sky
197,Olinala,MX,17.8333,-98.85,63.32,97,100,1.92,overcast clouds
198,Peterhead,GB,57.5058,-1.7981,55.11,88,100,30.2,overcast clouds
199,Pangnirtung,CA,66.1451,-65.7125,23.45,85,98,5.66,overcast clouds
200,Havelock,US,34.8791,-76.9013,66.15,92,0,4.32,clear sky
201,Ullapool,GB,57.8987,-5.1604,56.75,94,100,6.46,moderate rain
202,Saint-Louis,SN,16.3333,-15.0,85.66,24,67,6.91,broken clouds
203,Asfi,MA,32.2994,-9.2372,62.83,80,7,13.42,clear sky
204,Champerico,GT,14.3,-91.9167,84.34,79,75,8.5,broken clouds
205,Shirokiy,RU,49.758,129.523,47.05,52,8,5.93,clear sky
206,Ouallam,NE,14.3188,2.0866,82.85,57,67,6.89,broken clouds
207,Sorland,NO,67.667,12.6934,42.48,68,100,7.05,overcast clouds
208,Gambela,ET,8.25,34.5833,70.32,63,11,4.92,few clouds
209,Beckley,US,37.7782,-81.1882,53.28,79,20,5.75,few clouds
210,Varnavino,RU,57.4035,45.0916,37.67,94,100,7.09,overcast clouds
211,Auki,SB,-8.7676,160.7034,86.13,68,38,7.05,scattered clouds
212,Fuyang,CN,32.9,115.8167,61.57,52,91,3.65,overcast clouds
213,Anloga,GH,5.7947,0.8973,79.05,82,99,4.41,moderate rain
214,San Patricio,US,28.017,-97.5169,78.89,71,1,9.24,clear sky
215,Kirovskiy,RU,45.0917,133.5136,51.67,41,0,6.58,clear sky
216,Beloha,MG,-25.1667,45.05,67.32,81,0,3.67,clear sky
217,Souillac,MU,-20.5167,57.5167,74.35,74,27,11.05,scattered clouds
218,Victoria,HK,22.2855,114.1577,73.04,72,13,1.01,few clouds
219,Vestmannaeyjar,IS,63.4427,-20.2734,47.16,84,100,16.44,overcast clouds
220,Padang,ID,-0.9492,100.3543,78.85,84,84,4.92,broken clouds
221,Sur,OM,22.5667,59.5289,79.9,64,2,8.37,clear sky
222,Thompson,CA,55.7435,-97.8558,35.76,74,100,4.38,overcast clouds
223,Iqaluit,CA,63.7506,-68.5145,31.69,88,100,11.99,overcast clouds
224,Villa Rica,US,33.7321,-84.9191,59.79,95,0,1.39,clear sky
225,Kahului,US,20.8947,-156.47,82.42,69,1,23.02,clear sky
226,Hovd,MN,48.0056,91.6419,35.76,38,3,5.91,clear sky
227,Hohhot,CN,40.8106,111.6522,49.55,56,10,3.49,clear sky
228,Pailon,BO,-17.65,-62.75,86.9,33,100,11.23,overcast clouds
229,Vanimo,PG,-2.6741,141.3028,84.94,68,54,9.31,broken clouds
230,Flinders,AU,-34.5833,150.8552,73.8,58,36,7.0,scattered clouds
231,Cabo San Lucas,MX,22.8909,-109.9124,82.62,75,1,5.99,clear sky
232,Kocsord,HU,47.9391,22.3833,36.0,71,1,8.37,clear sky
233,Manggar,ID,-2.8833,108.2667,85.08,66,74,6.46,broken clouds
234,Surin,TH,14.8818,103.4936,73.87,82,99,14.56,overcast clouds
235,Marawi,PH,7.9986,124.2928,73.65,61,89,2.93,overcast clouds
236,Acarau,BR,-2.8856,-40.12,79.66,81,89,12.24,overcast clouds
237,Kruisfontein,ZA,-34.0033,24.7314,50.79,75,5,8.01,clear sky
238,Airai,TL,-8.9266,125.4092,79.95,34,32,1.59,scattered clouds
239,Tongliao,CN,43.6125,122.2653,53.96,36,0,9.62,clear sky
240,Sinazongwe,ZM,-17.2614,27.4618,81.37,46,77,2.91,broken clouds
241,Cherskiy,RU,68.75,161.3,-4.09,100,90,4.18,overcast clouds
242,Khasan,RU,42.4308,130.6434,55.56,38,0,5.95,clear sky
243,College,US,64.8569,-147.8028,35.58,79,75,0.0,broken clouds
244,Gucheng,CN,35.9115,111.3192,54.68,55,8,3.58,clear sky
245,Dingle,PH,10.9995,122.6711,84.4,75,62,2.28,broken clouds
246,Coahuayana,MX,18.7333,-103.6833,83.68,88,100,2.68,overcast clouds
247,Ibra,OM,22.6906,58.5334,71.94,74,0,1.45,clear sky
248,Eureka,US,40.8021,-124.1637,59.25,82,100,5.99,overcast clouds
249,Ketchikan,US,55.3422,-131.6461,43.34,91,100,11.16,moderate rain
250,Klaksvik,FO,62.2266,-6.589,49.12,90,100,13.87,overcast clouds
251,Rionero In Vulture,IT,40.9257,15.67,57.72,96,100,4.92,overcast clouds
252,Celestun,MX,20.8667,-90.4,79.14,83,62,11.18,broken clouds
253,Camana,PE,-16.6228,-72.7111,62.01,80,88,7.87,overcast clouds
254,San Cristobal,VE,7.7669,-72.225,71.78,99,100,2.51,overcast clouds
255,Port Lincoln,AU,-34.7333,135.8667,60.3,59,15,11.32,few clouds
256,Muros,ES,42.7762,-9.0603,55.83,95,1,6.06,clear sky
257,Killybegs,IE,54.6333,-8.45,55.13,89,91,13.87,overcast clouds
258,Bosaso,SO,11.2842,49.1816,76.48,64,78,2.15,broken clouds
259,Jiuquan,CN,39.7432,98.5174,45.84,30,15,4.94,few clouds
260,Miquelon,PM,47.0975,-56.3814,54.93,99,100,11.77,overcast clouds
261,Meulaboh,ID,4.1363,96.1285,81.09,76,84,1.48,broken clouds
262,Abu Dhabi,AE,24.4667,54.3667,80.71,83,20,3.44,few clouds
263,Taksimo,RU,56.3444,114.8794,36.3,57,82,2.01,broken clouds
264,Redmond,US,47.674,-122.1215,54.91,87,65,1.01,light rain
265,Karasjok,NO,69.4719,25.5112,24.91,88,43,3.04,scattered clouds
266,Rawson,AR,-43.3002,-65.1023,57.29,29,3,18.72,clear sky
267,Umm Lajj,SA,25.0213,37.2685,76.39,61,0,10.11,clear sky
268,Tongren,CN,27.7172,109.1853,60.94,55,0,3.0,clear sky
269,Talnakh,RU,69.4865,88.3972,22.86,91,100,6.35,overcast clouds
270,Gongzhuling,CN,43.5008,124.8198,55.11,53,0,12.33,clear sky
271,Geraldton,AU,-28.7667,114.6,86.41,28,0,5.75,haze
272,Mitsamiouli,KM,-11.3847,43.2844,78.19,81,71,9.46,broken clouds
273,Ensenada,MX,31.8667,-116.6167,62.94,80,36,4.83,scattered clouds
274,Kisangani,CD,0.5167,25.2,69.71,99,61,0.65,light rain
275,Port Townsend,US,48.117,-122.7605,54.97,90,90,1.01,overcast clouds
276,Soyo,AO,-6.1349,12.3689,77.56,85,100,9.53,overcast clouds
277,Krasnovishersk,RU,60.4078,57.082,37.76,86,98,4.92,overcast clouds
278,Hecun,CN,36.5333,114.1111,58.82,42,2,2.71,clear sky
279,Udachnyy,RU,66.4167,112.4,26.44,93,100,20.42,overcast clouds
280,Reforma,MX,18.1,-91.0167,75.87,90,96,4.27,overcast clouds
281,Cap-Aux-Meules,CA,47.3821,-61.8597,56.12,98,100,5.59,light rain
